OBJECTID,x_coord,y_coord,presence
187,-108.16888470300,38.99875353200,1
188,-108.17084556100,38.99792785000,1
189,-108.17037495500,38.99796664100,1
190,-108.17569303900,38.99765188200,1
191,-108.17690520500,38.99691762500,1
192,-108.17607332600,38.99656665600,1
193,-108.17650115000,38.99762879300,1
194,-108.17779056200,38.99831686400,1
195,-108.18163859700,38.99586286600,1
196,-108.18296009700,38.99769529100,1
197,-108.18634465600,38.99780612200,1
198,-108.22300437700,39.02213884500,1
199,-108.22619879300,39.02159965300,1
200,-108.22366988000,39.02021841700,1
201,-108.25469385900,39.06069996400,1
202,-108.23035545400,39.07352894200,1
203,-108.22816880100,39.08183922100,1
204,-108.22915754900,39.08554384400,1
205,-108.21153122000,39.08703818300,1
206,-108.21036183600,39.08644045100,1
207,-108.21027627100,39.08559919000,1
208,-108.21300008100,39.08738132400,1
209,-108.10166141700,38.94086426100,1
210,-108.10187532900,38.94197344900,1
211,-108.10257410700,38.94180707200,1
212,-108.09973621100,38.94307152800,1
213,-108.09883778200,38.94377029700,1
214,-108.09973621100,38.93991034500,1
215,-108.09565762700,38.95024744400,1
216,-108.09351850900,38.95685707400,1
217,-108.09460232900,38.95623606100,1
218,-108.09594284300,38.95803254700,1
219,-108.09522980400,38.95816561800,1
220,-108.09190704100,38.95466132600,1
221,-108.08600307600,38.95713431000,1
222,-108.08141110400,38.96319996400,1
223,-108.07292593800,38.96867745700,1
224,-108.07553566100,38.97165996300,1
225,-108.07242681000,38.96851114300,1
226,-108.07195620500,38.97077298600,1
227,-108.07554992200,38.97578426200,1
228,-108.07706156500,38.97586186700,1
229,-108.07569253000,38.97652705400,1
230,-108.07683339300,38.97445386900,1
231,-108.07589218100,38.98243585100,1
232,-108.07664800200,38.98233608200,1
233,-108.08024172000,38.98275732900,1
234,-108.08133980000,38.98293469500,1
235,-108.07738956300,38.98466399400,1
236,-108.07225568100,38.98131621100,1
237,-108.08661629000,38.97914339300,1
238,-108.08623124900,38.98009678000,1
239,-108.08956827200,38.97017427000,1
240,-108.09826735000,38.95855374200,1
241,-108.09534389000,38.95857592000,1
242,-108.09972195000,38.96270098100,1
243,-108.09778248400,38.96245703200,1
244,-108.09966490700,38.96091570200,1
245,-108.10247428200,38.96199131000,1
246,-108.10168993800,38.96392071100,1
247,-108.10823563800,38.96214655100,1
248,-108.10524087400,38.96171409300,1
249,-108.10703773200,38.96474124500,1
250,-108.10552608900,38.96312234400,1
251,-108.13568087200,38.92267771600,0
252,-108.13171368800,38.91780751400,0
253,-108.13796259800,38.91365336200,0
254,-108.16255417200,38.90830083300,0
255,-108.14268414700,38.90896665300,0
256,-108.14648702300,38.92257761300,0
257,-108.19896670600,38.88255098600,0
258,-108.21645993400,38.87241127300,0
259,-108.21408313700,38.86671167500,0
260,-108.17253672100,38.87640812100,0
261,-108.10636668500,38.95969858600,0
262,-108.10142294600,38.95762860500,0
263,-108.12994451300,38.93411529600,0
264,-108.12614163800,38.96317306000,0
265,-108.07967525100,38.94532760700,0
266,-108.09044214300,38.94349752400,0
267,-108.10498814200,38.98280618300,0
268,-108.11379417600,38.97803929900,0
