,newID,ID,X,Y,YEAR,PresenceAb,Percent_Cov,X0716_blue,X0716_green,X0716_nir,X0716_red,,,,,,,,,
88,310,191,-109.4749985,38.71060181,2016,0,0,1499.701059,1747.105167,3394.054451,2319.785977,,,,,,,,,
89,462,451,-109.8300018,38.67490005,2016,0,0,1554.494245,1862.043595,3932.056179,2814.119046,,,,,,,,,
90,213,26,-110.1009979,38.65950012,2016,0,0,1495.837251,1803.419185,3586.846683,2592.075651,,,,,,,,,
91,433,405,-109.2919998,39.21289825,2016,0,0,1557.793702,1766.576238,3019.448921,2140.993815,,,,,,,,,
92,394,330,-110.310997,38.47330093,2016,0,0,1518.197837,1825.1456,3705.608826,2685.799288,,,,,,,,,
93,7,GR008,-110.11391,39.156574,2017,0,0,1443.959853,1600.368548,2811.948046,1714.647438,,,,,,,,,
94,289,158,-108.8769989,39.09289932,2016,0,0,1509.616522,1689.254103,3054.711816,1916.484419,,,,,,,,,
95,401,347,-109.2480011,39.59859848,2016,0,0,1494.229009,1630.257499,2784.49454,1774.103295,,,,,,,,,
96,410,361,-109.7679977,39.61579895,2016,0,0,1458.783576,1734.962301,3170.920989,2030.791468,,,,,,,,,
97,206,12,-110.3980026,38.45740128,2016,0,0,1523.161489,1965.498143,4486.686461,3086.000701,,,,,,,,,
98,303,181,-108.1999969,39.39049911,2016,0,0,1591.314525,1851.302463,3122.125869,2159.858082,,,,,,,,,
99,266,109,-108.9430008,39.29800034,2016,0,0,1411.083005,1532.91402,2751.983013,1805.265182,,,,,,,,,
100,415,371,-110.1529999,38.98500061,2016,0,0,1264.735243,1265.736581,2998.551239,1286.49251,,,,,,,,,
101,437,413,-110.1190033,39.09859848,2016,0,0,1363.499028,1465.367227,2436.913737,1542.584059,,,,,,,,,
102,286,153,-109.4850006,39.09049988,2016,0,0,1512.724881,1720.660547,2734.697003,2023.059723,,,,,,,,,
103,356,258,-108.9729996,38.20429993,2016,0,0,1409.413476,1534.210689,2657.889784,1901.518112,,,,,,,,,
104,256,97,-110,39.72449875,2016,0,0,836.8725534,633.577776,623.4680473,545.4133403,,,,,,,,,
105,441,421,-109.3939972,38.42630005,2016,0,0,1342.913512,1505.947441,2824.068582,1817.359397,,,,,,,,,
106,397,337,-109.3970032,39.0060997,2016,0,0,1428.166793,1531.515659,2699.266717,1929.490992,,,,,,,,,
107,421,381,-108.487999,39.20069885,2016,0,0,1442.671486,1574.413951,2548.948443,1810.579597,,,,,,,,,
108,359,263,-110.038002,39.64580154,2016,0,0,1431.330357,1661.012786,2818.380992,1933.699797,,,,,,,,,
109,277,133,-109.3379974,38.96699905,2016,0,0,1426.785332,1461.172231,2444.44037,1709.182753,,,,,,,,,
110,407,356,-109.3119965,38.86149979,2016,0,0,1445.189637,1566.466897,2572.214741,1868.669692,,,,,,,,,
111,309,189,-110.1900024,38.50780106,2016,0,0,1415.117334,1793.268366,3860.233897,2729.560553,,,,,,,,,
112,21,GR025,-109.584585,38.562187,2017,0,0,1466.96499,1557.215548,2765.777925,1962.208481,,,,,,,,,
113,428,396,-108.3580017,39.10189819,2016,0,0,1310.63687,1362.595403,2720.783981,1538.379662,,,,,,,,,
