,ID,X,Y,YEAR,PresenceAb,Percent_Cov,X0415_blue,blue,green,red,nir
152,75,-109.1090012,39.21519852,2016,0,0,1322.482852,0.837051925,-679508.6699,0.285982731,1370.244568
153,218,-109.1880035,38.90439987,2016,0,0,1307.885344,0.837277651,-794225.7168,0.32375954,1360.782438
154,184,-108.5830002,39.06510162,2016,0,0,1305.028913,0.882640231,-1145540.013,0.308491109,1296.983828
155,370,-109.0339966,39.36190033,2016,0,0,1304.435853,0.866585169,-1163991.764,0.326322427,1366.469932
156,234,-109.3720016,39.17879868,2016,0,0,1301.558793,0.818506305,-426277.1992,0.236813385,1387.85758
157,457,-108.7890015,39.36930084,2016,0,0,1300.669094,0.838008905,-701543.0845,0.278395349,1406.072325
158,165,-108.6660004,39.12080002,2016,0,0,1295.483465,0.835004703,-429012.1739,0.238674166,1222.877039
159,GR501,-110.102421,39.133458,2017,0,0,1295.018903,0.762815847,-60107.30522,0.104538654,1315.79995
160,254,-109.401001,38.19509888,2016,0,0,1292.314144,0.808121689,-562116.6431,0.319799688,1456.508673
161,331,-109.0270004,39.17089844,2016,0,0,1291.945399,0.83638312,-789962.6743,0.321780349,1371.653009
162,142,-109.401001,39.13410187,2016,0,0,1291.475341,0.850622285,-804332.9898,0.303083053,1313.410426
163,61,-109.1320038,39.11349869,2016,0,0,1289.043531,0.834812121,-599703.2922,0.272151061,1347.537374
164,438,-108.5889969,38.99679947,2016,0,0,1287.087434,0.827262654,-494317.264,0.255599528,1339.912902
165,GR401,-110.10903,39.13149,2017,0,0,1285.992661,0.705156588,-67.21053908,0.017881074,1365.992823
166,473,-109.6009979,38.46910095,2016,0,0,1285.756115,0.835625967,-996638.0512,0.364797908,1404.81155
167,GR035,-109.532962,38.609176,2017,0,0,1284.78881,0.867485415,-1238146.789,0.349801099,1329.922978
168,20,-109.5830002,38.59960175,2016,0,0,1283.301263,0.793754057,-159079.421,0.187258686,1187.864319
169,31,-109.9530029,38.25590134,2016,0,0,1281.610884,0.829753545,-863640.4727,0.356253397,1391.464489
170,221,-108.3960037,38.99850082,2016,0,0,1280.125565,0.861739456,-775744.0578,0.278460959,1273.873971
171,101,-109.6569977,38.32619858,2016,0,0,1279.703804,0.80983487,-480998.536,0.303314808,1375.955081
172,69,-109.6060028,38.46860123,2016,0,0,1279.3372,0.812158807,-825394.3754,0.395237028,1431.420747
173,GR805,-109.580068,38.570751,2017,0,0,1275.577858,0.863487403,-880394.9808,0.312323525,1247.520425
174,273,-108.1610031,39.38529968,2016,0,0,1274.51305,0.820050809,-378382.3412,0.247320815,1262.732041
175,378,-108.4260025,38.79140091,2016,0,0,1273.824929,0.817027843,-454222.1709,0.262275408,1373.598545
176,GR225,-109.558973,38.604096,2017,0,0,1273.816034,0.845153505,-572550.0587,0.279326145,1208.599503
177,296,-109.9150009,38.33369827,2016,0,0,1267.366457,0.817802979,-636233.4367,0.337315878,1369.337894
178,127,-109.072998,39.2806015,2016,0,0,1266.828191,0.839405964,-677958.8847,0.294468823,1321.967026
179,GR209,-110.079137,39.192335,2017,0,0,1266.755243,0.8810832,-1091922.777,0.307748138,1278.219327
180,490,-108.9759979,39.36330032,2016,0,0,1266.699378,0.86878086,-1054988.818,0.328455637,1279.270263
181,309,-109.1299973,39.37939835,2016,0,0,1265.351858,0.848951926,-762556.368,0.288545802,1334.151253
182,141,-108.5690002,38.99779892,2016,0,0,1264.630654,0.844260538,-630625.1992,0.268685218,1305.471769
183,446,-109.2139969,38.74940109,2016,0,0,1263.151033,0.833124158,-621400.5808,0.301176423,1303.205592
184,52,-108.961998,39.43600082,2016,0,0,1262.035097,0.895768657,-1844542.176,0.363893326,1364.611671
185,386,-109.2399979,39.09360123,2016,0,0,1260.200745,0.852852613,-733651.2104,0.296582449,1255.082938
186,152,-109.3690033,38.74779892,2016,0,0,1260.071023,0.807077527,-535071.9848,0.350348664,1339.353978
187,18,-109.3170013,39.06290054,2016,0,0,1255.736511,0.838781703,-667244.3774,0.308689113,1276.519527
188,242,-110.0159988,38.62260056,2016,0,0,1255.271163,0.310771256,-727063.6107,-0.37011828,1370.760239
189,GR301,-110.106657,39.132725,2017,0,0,1255.258,0.648936179,-36972.92153,-0.068136875,1283.661221
190,GR202,-110.100261,39.13481,2017,0,0,1254.940422,0.855299623,-609083.1,0.247229293,1253.609166
191,67,-109.552002,39.04710007,2016,0,0,1254.110588,0.841850226,-510757.3459,0.258885323,1219.23837
